AssessmentID,AssessmentName,AssessmentType,ApplicableRoles,DifficultyLevel
1053,Personality Assessment 54,Personality,"['Retail Manager', 'Content Strategist', 'IT Administrator']",Hard
1054,Behavioral Assessment 55,Behavioral,"['Sales Executive', 'Content Strategist', 'Product Manager', 'AI Engineer']",Easy
1055,Personality Assessment 56,Personality,"['IT Administrator', 'Retail Manager', 'Software Engineer', 'Finance Analyst']",Hard
1056,Technical Assessment 57,Technical,"['AI Engineer', 'Customer Service Rep', 'Retail Manager', 'DevOps Engineer', 'Finance Analyst']",Easy
1057,Behavioral Assessment 58,Behavioral,"['Nurse Manager', 'Consultant', 'Customer Service Rep', 'Digital Marketer']",Hard
1058,Behavioral Assessment 59,Behavioral,"['Cybersecurity Analyst', 'HR Manager', 'Finance Analyst', 'Retail Manager', 'Customer Service Rep', 'Graphic Designer']",Hard
1059,Behavioral Assessment 60,Behavioral,"['Blockchain Developer', 'Logistics Coordinator']",Hard
1060,Situational Assessment 61,Situational,"['Product Manager', 'Content Strategist', 'DevOps Engineer', 'Business Analyst', 'QA Engineer', 'Legal Associate']",Medium
1061,Personality Assessment 62,Personality,"['Marketing Executive', 'Data Scientist', 'Logistics Coordinator', 'Finance Analyst', 'Cybersecurity Analyst', 'Product Manager']",Hard
1062,Cognitive Assessment 63,Cognitive,"['Digital Marketer', 'Blockchain Developer', 'Sales Executive', 'Finance Analyst', 'Content Strategist']",Medium
1063,Cognitive Assessment 64,Cognitive,"['Operations Manager', 'Blockchain Developer', 'Graphic Designer', 'Sales Executive']",Hard
1064,Situational Assessment 65,Situational,"['Software Engineer', 'Data Scientist', 'IT Administrator', 'AI Engineer', 'System Architect', 'Cybersecurity Analyst']",Easy
1065,Personality Assessment 66,Personality,"['Digital Marketer', 'UX Designer', 'Cybersecurity Analyst', 'Operations Manager', 'Medical Officer']",Medium
1066,Cognitive Assessment 67,Cognitive,"['QA Engineer', 'Retail Manager', 'Consultant', 'AI Engineer', 'Finance Analyst', 'DevOps Engineer']",Hard
1067,Behavioral Assessment 68,Behavioral,"['AI Engineer', 'Medical Officer', 'Finance Analyst', 'Product Manager', 'HR Manager', 'UX Designer']",Medium
1068,Technical Assessment 69,Technical,"['Retail Manager', 'Legal Associate', 'UX Designer', 'Product Manager']",Easy
1069,Technical Assessment 70,Technical,"['IT Administrator', 'Nurse Manager', 'Team Lead', 'Software Engineer']",Medium
1070,Personality Assessment 71,Personality,"['Software Engineer', 'Blockchain Developer']",Hard
1071,Technical Assessment 72,Technical,"['Team Lead', 'Nurse Manager', 'HR Manager', 'DevOps Engineer', 'Logistics Coordinator']",Easy
1072,Technical Assessment 73,Technical,"['Customer Service Rep', 'Nurse Manager', 'Logistics Coordinator']",Medium
1073,Situational Assessment 74,Situational,"['Medical Officer', 'Project Manager', 'Business Analyst']",Medium
1074,Situational Assessment 75,Situational,"['DevOps Engineer', 'System Architect', 'Graphic Designer', 'Support Engineer']",Hard
1075,Cognitive Assessment 76,Cognitive,"['Sales Executive', 'Finance Analyst', 'Support Engineer', 'Data Scientist', 'Customer Service Rep', 'Software Engineer']",Hard
1076,Personality Assessment 77,Personality,"['Project Manager', 'Medical Officer', 'Logistics Coordinator', 'Operations Manager', 'UX Designer']",Medium
1077,Personality Assessment 78,Personality,"['Project Manager', 'Retail Manager', 'Customer Service Rep']",Hard
1078,Technical Assessment 79,Technical,"['Blockchain Developer', 'Sales Executive', 'IT Administrator', 'System Architect', 'DevOps Engineer', 'Data Scientist']",Hard
1079,Personality Assessment 80,Personality,"['Graphic Designer', 'Cybersecurity Analyst', 'Nurse Manager', 'Legal Associate', 'Logistics Coordinator']",Easy
1080,Behavioral Assessment 81,Behavioral,"['Cybersecurity Analyst', 'IT Administrator']",Hard
1081,Behavioral Assessment 82,Behavioral,"['Consultant', 'Logistics Coordinator', 'Software Engineer']",Hard
1082,Cognitive Assessment 83,Cognitive,"['Digital Marketer', 'Product Manager']",Hard
1083,Behavioral Assessment 84,Behavioral,"['HR Manager', 'Medical Officer', 'Operations Manager', 'Graphic Designer', 'Blockchain Developer']",Hard
1084,Cognitive Assessment 85,Cognitive,"['Product Manager', 'Project Manager']",Hard
1085,Cognitive Assessment 86,Cognitive,"['AI Engineer', 'Cybersecurity Analyst', 'DevOps Engineer', 'Content Strategist', 'Graphic Designer', 'Business Analyst']",Medium
1086,Situational Assessment 87,Situational,"['Operations Manager', 'System Architect']",Medium
1087,Cognitive Assessment 88,Cognitive,"['Content Strategist', 'Business Analyst', 'Blockchain Developer']",Hard
1088,Technical Assessment 89,Technical,"['Nurse Manager', 'Product Manager', 'Cybersecurity Analyst', 'Blockchain Developer', 'Operations Manager', 'Project Manager']",Medium
1089,Technical Assessment 90,Technical,"['Finance Analyst', 'Content Strategist', 'Product Manager', 'Project Manager', 'AI Engineer']",Medium
1090,Situational Assessment 91,Situational,"['Finance Analyst', 'Consultant']",Easy
1091,Personality Assessment 92,Personality,"['Customer Service Rep', 'Marketing Executive', 'Retail Manager', 'Medical Officer', 'Logistics Coordinator', 'Data Scientist']",Medium
1092,Personality Assessment 93,Personality,"['Product Manager', 'Consultant', 'Logistics Coordinator', 'Data Scientist', 'HR Manager']",Hard
1093,Situational Assessment 94,Situational,"['UX Designer', 'Retail Manager', 'Logistics Coordinator']",Medium
1094,Behavioral Assessment 95,Behavioral,"['Digital Marketer', 'DevOps Engineer', 'Product Manager', 'Marketing Executive']",Hard
1095,Personality Assessment 96,Personality,"['QA Engineer', 'IT Administrator', 'Product Manager', 'Retail Manager', 'Graphic Designer']",Medium
1096,Personality Assessment 97,Personality,"['Data Scientist', 'Business Analyst']",Medium
1097,Situational Assessment 98,Situational,"['DevOps Engineer', 'Nurse Manager', 'Data Scientist', 'Logistics Coordinator', 'AI Engineer']",Easy
1098,Technical Assessment 99,Technical,"['Digital Marketer', 'QA Engineer', 'Graphic Designer']",Medium
1099,Behavioral Assessment 100,Behavioral,"['Logistics Coordinator', 'Cybersecurity Analyst', 'Consultant', 'Project Manager', 'Business Analyst']",Medium
1100,Technical Assessment 101,Technical,"['Product Manager', 'HR Manager', 'Nurse Manager', 'Data Scientist']",Hard
1101,Cognitive Assessment 102,Cognitive,"['IT Administrator', 'DevOps Engineer', 'Operations Manager', 'Data Scientist', 'Business Analyst', 'Content Strategist']",Medium
1102,Cognitive Assessment 103,Cognitive,"['Blockchain Developer', 'Support Engineer', 'Finance Analyst']",Medium
1103,Cognitive Assessment 104,Cognitive,"['Graphic Designer', 'Support Engineer', 'System Architect']",Hard
1104,Cognitive Assessment 105,Cognitive,"['HR Manager', 'Content Strategist', 'Graphic Designer']",Hard
1105,Behavioral Assessment 106,Behavioral,"['Content Strategist', 'Graphic Designer', 'Retail Manager']",Hard
1106,Technical Assessment 107,Technical,"['Nurse Manager', 'Retail Manager', 'Finance Analyst', 'IT Administrator', 'DevOps Engineer']",Medium
1107,Behavioral Assessment 108,Behavioral,"['Retail Manager', 'IT Administrator', 'Product Manager', 'Consultant', 'Operations Manager']",Hard
1108,Behavioral Assessment 109,Behavioral,"['Digital Marketer', 'IT Administrator', 'Cybersecurity Analyst', 'Support Engineer', 'Operations Manager', 'Logistics Coordinator']",Hard
1109,Situational Assessment 110,Situational,"['Product Manager', 'Business Analyst', 'Digital Marketer', 'AI Engineer']",Easy
1110,Cognitive Assessment 111,Cognitive,"['Digital Marketer', 'Project Manager', 'Operations Manager', 'Nurse Manager']",Easy
1111,Behavioral Assessment 112,Behavioral,"['System Architect', 'Project Manager', 'Finance Analyst']",Medium
1112,Behavioral Assessment 113,Behavioral,"['Support Engineer', 'Software Engineer', 'UX Designer']",Medium
1113,Behavioral Assessment 114,Behavioral,"['Graphic Designer', 'AI Engineer', 'Software Engineer', 'UX Designer']",Medium
1114,Personality Assessment 115,Personality,"['Consultant', 'AI Engineer', 'Product Manager', 'Customer Service Rep', 'Data Scientist']",Hard
1115,Behavioral Assessment 116,Behavioral,"['Graphic Designer', 'Medical Officer', 'Support Engineer', 'Customer Service Rep']",Medium
1116,Technical Assessment 117,Technical,"['Customer Service Rep', 'Nurse Manager']",Hard
1117,Personality Assessment 118,Personality,"['Software Engineer', 'QA Engineer', 'HR Manager', 'Nurse Manager', 'Blockchain Developer', 'Graphic Designer']",Hard
1118,Behavioral Assessment 119,Behavioral,"['Finance Analyst', 'Product Manager', 'Customer Service Rep', 'UX Designer', 'Data Scientist', 'Business Analyst']",Medium
1119,Personality Assessment 120,Personality,"['Retail Manager', 'Product Manager', 'Customer Service Rep']",Medium
1120,Cognitive Assessment 121,Cognitive,"['Finance Analyst', 'HR Manager', 'Sales Executive']",Medium
1121,Behavioral Assessment 122,Behavioral,"['AI Engineer', 'Project Manager']",Easy
1122,Cognitive Assessment 123,Cognitive,"['Support Engineer', 'Digital Marketer', 'Content Strategist', 'Product Manager', 'HR Manager', 'Business Analyst']",Hard
1123,Technical Assessment 124,Technical,"['DevOps Engineer', 'Software Engineer', 'Logistics Coordinator', 'AI Engineer', 'Blockchain Developer']",Medium
1124,Cognitive Assessment 125,Cognitive,"['UX Designer', 'Marketing Executive', 'Software Engineer', 'Graphic Designer']",Hard
1125,Personality Assessment 126,Personality,"['AI Engineer', 'Marketing Executive', 'Software Engineer']",Easy
1126,Situational Assessment 127,Situational,"['IT Administrator', 'Business Analyst']",Medium
1127,Personality Assessment 128,Personality,"['Retail Manager', 'Finance Analyst', 'Product Manager']",Medium
1128,Cognitive Assessment 129,Cognitive,"['Team Lead', 'Consultant', 'Marketing Executive', 'Finance Analyst', 'System Architect']",Hard
1129,Personality Assessment 130,Personality,"['Finance Analyst', 'Sales Executive', 'Marketing Executive']",Hard
1130,Technical Assessment 131,Technical,"['Digital Marketer', 'Team Lead', 'Operations Manager']",Hard
1131,Technical Assessment 132,Technical,"['Support Engineer', 'HR Manager', 'UX Designer']",Easy
1132,Cognitive Assessment 133,Cognitive,"['Sales Executive', 'Operations Manager', 'Customer Service Rep', 'QA Engineer', 'Nurse Manager']",Easy
1133,Technical Assessment 134,Technical,"['Cybersecurity Analyst', 'Product Manager', 'Marketing Executive']",Hard
1134,Behavioral Assessment 135,Behavioral,"['HR Manager', 'Cybersecurity Analyst', 'IT Administrator', 'Consultant', 'Content Strategist', 'Nurse Manager']",Hard
1135,Behavioral Assessment 136,Behavioral,"['Digital Marketer', 'Nurse Manager', 'System Architect', 'UX Designer', 'Logistics Coordinator']",Easy
1136,Cognitive Assessment 137,Cognitive,"['Sales Executive', 'Retail Manager', 'Nurse Manager', 'Logistics Coordinator', 'Cybersecurity Analyst', 'Consultant']",Medium
1137,Cognitive Assessment 138,Cognitive,"['Cybersecurity Analyst', 'Blockchain Developer', 'Digital Marketer', 'Marketing Executive', 'HR Manager', 'Sales Executive']",Medium
1138,Behavioral Assessment 139,Behavioral,"['Cybersecurity Analyst', 'Finance Analyst', 'Sales Executive', 'DevOps Engineer', 'Data Scientist', 'IT Administrator']",Hard
1139,Situational Assessment 140,Situational,"['Product Manager', 'QA Engineer', 'UX Designer', 'Blockchain Developer']",Easy
1140,Behavioral Assessment 141,Behavioral,"['Legal Associate', 'Support Engineer', 'HR Manager', 'Retail Manager', 'Product Manager']",Medium
1141,Cognitive Assessment 142,Cognitive,"['Consultant', 'Support Engineer']",Easy
1142,Situational Assessment 143,Situational,"['Sales Executive', 'Support Engineer', 'Finance Analyst']",Hard
1143,Situational Assessment 144,Situational,"['AI Engineer', 'Operations Manager', 'IT Administrator', 'DevOps Engineer', 'Project Manager', 'Blockchain Developer']",Medium
1144,Technical Assessment 145,Technical,"['UX Designer', 'Product Manager', 'Software Engineer', 'Digital Marketer', 'Project Manager']",Easy
1145,Technical Assessment 146,Technical,"['Logistics Coordinator', 'Marketing Executive', 'QA Engineer', 'Blockchain Developer']",Hard
1146,Personality Assessment 147,Personality,"['Content Strategist', 'Blockchain Developer', 'DevOps Engineer', 'Logistics Coordinator', 'QA Engineer']",Hard
1147,Personality Assessment 148,Personality,"['Marketing Executive', 'Graphic Designer']",Medium
1148,Behavioral Assessment 149,Behavioral,"['Legal Associate', 'Digital Marketer', 'Team Lead', 'AI Engineer', 'Sales Executive', 'Business Analyst']",Medium
1149,Technical Assessment 150,Technical,"['Support Engineer', 'Digital Marketer', 'Business Analyst', 'Software Engineer']",Medium
1150,Behavioral Assessment 151,Behavioral,"['Graphic Designer', 'AI Engineer', 'Customer Service Rep']",Easy
1151,Technical Assessment 152,Technical,"['Logistics Coordinator', 'DevOps Engineer', 'Business Analyst', 'Marketing Executive', 'Medical Officer', 'Product Manager']",Easy
1152,Personality Assessment 153,Personality,"['Software Engineer', 'AI Engineer', 'HR Manager', 'QA Engineer']",Medium
1153,Situational Assessment 154,Situational,"['Cybersecurity Analyst', 'Team Lead', 'UX Designer', 'Legal Associate', 'System Architect', 'IT Administrator']",Hard
1154,Personality Assessment 155,Personality,"['HR Manager', 'Operations Manager', 'Digital Marketer']",Hard
1155,Technical Assessment 156,Technical,"['Software Engineer', 'Project Manager', 'Product Manager', 'QA Engineer', 'Data Scientist', 'System Architect']",Medium
1156,Personality Assessment 157,Personality,"['QA Engineer', 'Digital Marketer', 'Medical Officer', 'Nurse Manager', 'HR Manager', 'Support Engineer']",Easy
1157,Technical Assessment 158,Technical,"['Product Manager', 'Retail Manager']",Hard
1158,Technical Assessment 159,Technical,"['IT Administrator', 'AI Engineer', 'UX Designer', 'Consultant']",Easy
1159,Situational Assessment 160,Situational,"['Software Engineer', 'Retail Manager', 'UX Designer']",Hard
1160,Situational Assessment 161,Situational,"['Team Lead', 'IT Administrator', 'System Architect', 'AI Engineer']",Medium
1161,Personality Assessment 162,Personality,"['System Architect', 'Nurse Manager']",Medium
1162,Technical Assessment 163,Technical,"['Consultant', 'IT Administrator', 'DevOps Engineer', 'Cybersecurity Analyst']",Hard
1163,Cognitive Assessment 164,Cognitive,"['Logistics Coordinator', 'Retail Manager', 'HR Manager']",Hard
1164,Technical Assessment 165,Technical,"['DevOps Engineer', 'Support Engineer']",Medium
1165,Situational Assessment 166,Situational,"['UX Designer', 'Content Strategist', 'Medical Officer', 'Cybersecurity Analyst']",Hard
1166,Situational Assessment 167,Situational,"['Team Lead', 'HR Manager', 'Data Scientist', 'Software Engineer', 'Sales Executive', 'Consultant']",Easy
1167,Technical Assessment 168,Technical,"['DevOps Engineer', 'Operations Manager', 'Customer Service Rep', 'IT Administrator', 'Project Manager', 'QA Engineer']",Hard
1168,Situational Assessment 169,Situational,"['Content Strategist', 'Team Lead', 'Cybersecurity Analyst', 'Medical Officer', 'Graphic Designer', 'Product Manager']",Medium
1169,Behavioral Assessment 170,Behavioral,"['Blockchain Developer', 'DevOps Engineer', 'Finance Analyst', 'System Architect', 'Project Manager', 'Medical Officer']",Medium
1170,Technical Assessment 171,Technical,"['Operations Manager', 'Retail Manager', 'IT Administrator']",Medium
1171,Situational Assessment 172,Situational,"['System Architect', 'Operations Manager']",Hard
1172,Personality Assessment 173,Personality,"['Legal Associate', 'Finance Analyst', 'Business Analyst']",Easy
1173,Personality Assessment 174,Personality,"['Operations Manager', 'Marketing Executive', 'Finance Analyst', 'Nurse Manager', 'Medical Officer', 'Legal Associate']",Medium
1174,Situational Assessment 175,Situational,"['Support Engineer', 'Customer Service Rep', 'Nurse Manager', 'Cybersecurity Analyst', 'HR Manager', 'Digital Marketer']",Hard
1175,Behavioral Assessment 176,Behavioral,"['Medical Officer', 'Customer Service Rep', 'Software Engineer', 'HR Manager']",Hard
1176,Situational Assessment 177,Situational,"['Logistics Coordinator', 'Cybersecurity Analyst']",Hard
1177,Cognitive Assessment 178,Cognitive,"['Legal Associate', 'Retail Manager']",Medium
1178,Behavioral Assessment 179,Behavioral,"['Blockchain Developer', 'Graphic Designer', 'Legal Associate', 'Team Lead']",Medium
1179,Personality Assessment 180,Personality,"['Logistics Coordinator', 'UX Designer']",Medium
1180,Behavioral Assessment 181,Behavioral,"['Product Manager', 'Finance Analyst', 'DevOps Engineer', 'Retail Manager', 'IT Administrator']",Hard
1181,Personality Assessment 182,Personality,"['System Architect', 'AI Engineer']",Easy
1182,Behavioral Assessment 183,Behavioral,"['Support Engineer', 'Project Manager', 'Product Manager', 'AI Engineer']",Easy
1183,Personality Assessment 184,Personality,"['System Architect', 'Medical Officer']",Hard
1184,Technical Assessment 185,Technical,"['Digital Marketer', 'Logistics Coordinator', 'HR Manager']",Hard
1185,Cognitive Assessment 186,Cognitive,"['AI Engineer', 'Business Analyst']",Medium
1186,Situational Assessment 187,Situational,"['Cybersecurity Analyst', 'Customer Service Rep', 'UX Designer']",Easy
1187,Personality Assessment 188,Personality,"['Team Lead', 'UX Designer', 'Consultant', 'Customer Service Rep']",Medium
1188,Cognitive Assessment 189,Cognitive,"['Project Manager', 'Legal Associate', 'Software Engineer', 'UX Designer', 'Support Engineer']",Hard
1189,Situational Assessment 190,Situational,"['Customer Service Rep', 'Blockchain Developer']",Medium
1190,Personality Assessment 191,Personality,"['Operations Manager', 'Medical Officer', 'System Architect', 'UX Designer', 'AI Engineer', 'IT Administrator']",Easy
1191,Personality Assessment 192,Personality,"['Digital Marketer', 'Operations Manager', 'Graphic Designer']",Hard
1192,Personality Assessment 193,Personality,"['Medical Officer', 'Product Manager', 'Data Scientist']",Hard
1193,Technical Assessment 194,Technical,"['Business Analyst', 'Finance Analyst', 'Team Lead', 'Nurse Manager', 'Marketing Executive', 'Product Manager']",Hard
1194,Cognitive Assessment 195,Cognitive,"['System Architect', 'HR Manager']",Hard
1195,Behavioral Assessment 196,Behavioral,"['Consultant', 'DevOps Engineer']",Medium
1196,Personality Assessment 197,Personality,"['Project Manager', 'Team Lead', 'UX Designer', 'Consultant', 'Business Analyst', 'Logistics Coordinator']",Easy
1197,Behavioral Assessment 198,Behavioral,"['Project Manager', 'Retail Manager', 'DevOps Engineer', 'Blockchain Developer']",Medium
1198,Situational Assessment 199,Situational,"['UX Designer', 'IT Administrator']",Easy
1199,Technical Assessment 200,Technical,"['Nurse Manager', 'Marketing Executive', 'Legal Associate', 'HR Manager', 'Product Manager', 'Medical Officer']",Easy
1200,Behavioral Assessment 201,Behavioral,"['Finance Analyst', 'HR Manager']",Medium
1201,Cognitive Assessment 202,Cognitive,"['Blockchain Developer', 'Medical Officer']",Medium
1202,Situational Assessment 203,Situational,"['Finance Analyst', 'Consultant']",Easy
1203,Situational Assessment 204,Situational,"['Marketing Executive', 'Software Engineer', 'UX Designer', 'Retail Manager', 'HR Manager', 'Team Lead']",Hard
1204,Technical Assessment 205,Technical,"['Nurse Manager', 'Software Engineer', 'Project Manager']",Easy
1205,Technical Assessment 206,Technical,"['System Architect', 'Medical Officer']",Hard
1206,Behavioral Assessment 207,Behavioral,"['Blockchain Developer', 'Nurse Manager']",Hard
1207,Situational Assessment 208,Situational,"['Consultant', 'Sales Executive', 'Product Manager', 'Software Engineer', 'UX Designer']",Medium
1208,Personality Assessment 209,Personality,"['Finance Analyst', 'Data Scientist', 'Project Manager', 'HR Manager']",Easy
1209,Cognitive Assessment 210,Cognitive,"['Finance Analyst', 'Legal Associate', 'Digital Marketer', 'Support Engineer', 'UX Designer', 'Medical Officer']",Hard
1210,Situational Assessment 211,Situational,"['HR Manager', 'Nurse Manager', 'Operations Manager', 'Retail Manager', 'Legal Associate']",Easy
1211,Behavioral Assessment 212,Behavioral,"['Cybersecurity Analyst', 'Software Engineer', 'Marketing Executive', 'Support Engineer', 'HR Manager']",Hard
1212,Cognitive Assessment 213,Cognitive,"['UX Designer', 'Sales Executive']",Hard
1213,Technical Assessment 214,Technical,"['DevOps Engineer', 'IT Administrator', 'UX Designer', 'Graphic Designer', 'Finance Analyst']",Hard
1214,Behavioral Assessment 215,Behavioral,"['AI Engineer', 'Operations Manager', 'Business Analyst']",Easy
1215,Situational Assessment 216,Situational,"['Retail Manager', 'Legal Associate', 'Blockchain Developer', 'Team Lead', 'Marketing Executive']",Hard
1216,Behavioral Assessment 217,Behavioral,"['Digital Marketer', 'Support Engineer', 'Content Strategist', 'Logistics Coordinator']",Easy
1217,Behavioral Assessment 218,Behavioral,"['Software Engineer', 'Finance Analyst']",Medium
1218,Technical Assessment 219,Technical,"['Cybersecurity Analyst', 'Support Engineer']",Medium
1219,Situational Assessment 220,Situational,"['Logistics Coordinator', 'Product Manager', 'Team Lead', 'Operations Manager']",Medium
1220,Cognitive Assessment 221,Cognitive,"['Retail Manager', 'Content Strategist', 'Logistics Coordinator']",Easy
1221,Situational Assessment 222,Situational,"['Digital Marketer', 'Retail Manager']",Easy
1222,Cognitive Assessment 223,Cognitive,"['Finance Analyst', 'Legal Associate', 'IT Administrator', 'Retail Manager', 'Marketing Executive', 'HR Manager']",Easy
1223,Situational Assessment 224,Situational,"['Logistics Coordinator', 'Blockchain Developer', 'Cybersecurity Analyst', 'Finance Analyst', 'Graphic Designer', 'Software Engineer']",Medium
1224,Cognitive Assessment 225,Cognitive,"['AI Engineer', 'Logistics Coordinator']",Medium
1225,Technical Assessment 226,Technical,"['Cybersecurity Analyst', 'Software Engineer', 'System Architect']",Medium
